Category,Sub Category,Categories,Variation,Meta: features,Meta: specifications,Price,Regular Price,Demo Video Link,Type,Visibility in catalog,In stock?,Images,Attribute 1 name,Attribute 1 value(s),,Attribute 1 visible,Attribute 1 global,SKU,Master SKU,Images New,Tool,Long Descrition,Short Description
HR & Recruitment,Employee Sentiment Analysis,HR & Recruitment > Employee Sentiment Analysis,Plus,• Weekly check-ins• AI-driven sentiment tracking• Goal tracking• Feedback & recognition,• Cloud SaaS• GDPR compliant,Custom pricing,,https://www.youtube.com/watch?v=egN7bXzY4ro,Simple,visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Plus,1,1,1,AI -54,,http://13.202.62.85/wp-content/uploads/2025/06/15Five.jpg,15Five,"<div class=""tool-description""> <h1>15Five</h1> <p class=""overview""> 15Five is a performance management platform that helps organizations enhance employee engagement through continuous feedback, goal setting, and performance reviews. </p> <h2>Primary Use Cases</h2> <ul> <li>Employee engagement</li> <li>Performance reviews</li> <li>OKR (Objectives and Key Results) tracking</li> <li>Continuous feedback</li> <li>Team alignment</li> </ul> <h2>Target Audience</h2> <ul> <li>HR professionals</li> <li>Team managers</li> <li>Small to medium businesses</li> <li>Remote teams</li> </ul> </div>",
Content Creation,Content Personalization,Content Creation > Content Personalization,Standard,• Personalization platform• AI-driven segmentation• Multi-channel campaigns• Analytics & reporting,• Cloud SaaS• API & SDK• GDPR compliant,Custom pricing,,https://www.youtube.com/watch?v=rprGLZh3Q5g,Variable,visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,"Standard,Enterprise",2,1,1,AI -34,,,Acquia Lift,"<div class=""tool-description""> <h1>Acquia Lift</h1> <p class=""overview""> Acquia Lift is a customer data platform that enables businesses to deliver personalized customer experiences powered by machine learning and analytics. </p> <h2>Primary Use Cases</h2> <ul> <li>Customer data unification</li> <li>Personalized content delivery</li> <li>Behavioral targeting</li> <li>Marketing campaign optimization</li> <li>Customer insights and analytics</li> </ul> <h2>Target Audience</h2> <ul> <li>Marketers</li> <li>Customer experience teams</li> <li>E-commerce businesses</li> <li>Enterprises</li> </ul> <img src=""Acquia Lift.png"" alt=""Acquia Lift"" /> </div>",
,,,Enterprise,,,,,,"variation, virtual",visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Enterprise,,,1,,AI -34,,Acquia Lift - Enterprise,,
,,,Standard,,,,,,"variation, virtual",visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Standard,,,1,,AI -34,,Acquia Lift - Standard,,
Communication & Outreach,Chatbot Automation,Communication & Outreach > Chatbot Automation,Essentials,• AI chatbot builder• No-code interface• Multi-channel support• Analytics & insights,• Cloud SaaS• API available• GDPR compliant,Custom pricing,,https://www.youtube.com/watch?v=8q0Qpi3NUA0,Simple,visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Essentials,1,1,1,AI -18,,,Ada,"<div class=""tool-description""> <h1>Ada</h1> <p class=""overview""> Ada is an AI-powered chatbot platform designed to automate customer interactions and improve engagement for businesses of all sizes. </p> <h2>Primary Use Cases</h2> <ul> <li>Customer support automation</li> <li>Lead generation</li> <li>AI-driven chatbots</li> <li>Omnichannel customer interactions</li> <li>Real-time support</li> </ul> <h2>Target Audience</h2> <ul> <li>Customer support teams</li> <li>Marketers</li> <li>E-commerce businesses</li> <li>SMBs and enterprises</li> </ul> <img src=""Ada.png"" alt=""Ada"" /> </div>",
Content Creation,Video Content Creation,Content Creation > Video Content Creation,Single App,• Professional video editing• AI-powered tools (Sensei)• Multi-format support• VR editing,• Desktop software• Creative Cloud integration,$20.99/month,20.99,https://www.youtube.com/watch?v=Hls3Tp7JS8E,Variable,visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,"Single App,Creative Cloud",2,1,1,AI -117,,http://13.202.62.85/wp-content/uploads/2025/06/Adobe-Premiere-Pro.jpg,Adobe Premiere Pro,"<div class=""tool-description""> <h1>Adobe Premiere Pro</h1> <p class=""overview""> Adobe Premiere Pro is a professional video editing software used for creating, editing, and producing high-quality video content. </p> <h2>Primary Use Cases</h2> <ul> <li>Video editing</li> <li>Color correction and grading</li> <li>Motion graphics integration</li> <li>Audio editing and mixing</li> <li>Video production workflows</li> </ul> <h2>Target Audience</h2> <ul> <li>Video editors</li> <li>Content creators</li> <li>Filmmakers</li> <li>Marketing professionals</li> </ul> </div>",
,,,Creative Cloud,,,,52.99,,"variation, virtual",visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Creative Cloud,,,1,,AI -117,,Adobe Premiere Pro - Creative Cloud,,
,,,Single App,,,,20.99,,"variation, virtual",visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Single App,,,1,,AI -117,,Adobe Premiere Pro - Single App,,
Product Development,Prototype Development,Product Development > Prototype Development,Starter,• UX/UI design• Interactive prototypes• Voice prototyping• Auto-animate,• Desktop & cloud-based• Adobe Creative Cloud integration,Free,,https://www.youtube.com/watch?v=68w2VwalD5w,Variable,visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,"Starter,Single App,Creative Cloud",3,1,1,AI -100,,http://13.202.62.85/wp-content/uploads/2025/06/Adobe-XD.jpg,Adobe XD,"<div class=""tool-description""> <h1>Adobe XD</h1> <p class=""overview""> Adobe XD is a user experience design tool used for creating wireframes, prototypes, and interactive UI/UX designs for websites and mobile apps. </p> <h2>Primary Use Cases</h2> <ul> <li>UI/UX design</li> <li>Wireframing</li> <li>Interactive prototyping</li> <li>Collaborative design</li> <li>Design system creation</li> </ul> <h2>Target Audience</h2> <ul> <li>UI/UX designers</li> <li>Product designers</li> <li>Web and mobile app developers</li> <li>Creative teams</li> </ul> </div>",
,,,Creative Cloud,,,,52.99,,"variation, virtual",visible,1,photo-1581091226825-a6a2a5aee158.jpg,Product Plan,Creative Cloud,,,1,,AI -100,,Adobe XD - Creative Cloud,,
